sample_id	observed_fraction	country	original_group_id	date_mean_bp
I15650.AG	0.5832023024559021	Czechia	Czechia_N_possible.AG	3058.0
I15705.AG	0.08761221170425415	Albania	Albania_Podgorie_N.AG	8096.0
I15706.AG	0.6866756677627563	Albania	Albania_Pazhok_PostMedieval.AG	320.0
I15707.AG	0.6821355223655701	Albania	Albania_Bardhoc_PostMedieval.AG	399.0
I15741.AG	0.6841574311256409	Croatia	Croatia_Medieval.AG	1096.0
I15742.AG	0.6735379099845886	Croatia	Croatia_Medieval_o.AG	1232.0
I15743.AG	0.6954411864280701	Croatia	Croatia_Medieval.AG	1029.0
I15744.AG	0.6794186234474182	Croatia	Croatia_Medieval.AG	1228.0
I15818.AG	0.6372998356819153	Czechia	Czechia_EN_LBK.AG	7200.0
I15819.AG	0.2348434329032898	Czechia	Czechia_N.AG	7200.0
I15823.AG	0.5073409676551819	Czechia	Czechia_C.AG	5550.0
I15824.AG	0.6159862279891968	Czechia	Czechia_EBA_Unetice.AG	3900.0
I15825.AG	0.43059074878692627	Czechia	Czechia_EBA_Unetice.AG	3850.0
I15826.AG	0.1962704360485077	Czechia	Czechia_C.AG	5505.0
I15940.AG	0.4567461907863617	Italy	Italy_Sardinia_N_oAfrica.AG	4203.0
I15941.AG	0.6168037056922913	Italy	Italy_Sardinia_N.AG	4196.0
I15942.AG	0.4897442162036896	Italy	Italy_Sardinia_N.AG	4297.0
I15943.AG	0.11908390372991562	Italy	Italy_Sardinia_N.AG	5723.0
I15945.AG	0.152491495013237	Italy	Italy_Sardinia_N.AG	5825.0
I15946.AG	0.39613044261932373	Italy	Italy_Sardinia_N.AG	5968.0
I15947.AG	0.11168495565652847	Italy	Italy_Sardinia_N_contam.AG	5575.0
I15950.AG	0.596672534942627	Czechia	Czechia_IA_LaTene.AG	2385.0
I15951.AG	0.6015548706054688	Czechia	Czechia_IA_LaTene.AG	2235.0
I15952.AG	0.621917188167572	Czechia	Czechia_IA_LaTene.AG	2310.0
I15953.AG	0.6077405214309692	Czechia	Czechia_IA_LaTene_mother.or.daughter.I15039.AG	2185.0
I15954.AG	0.625424861907959	Czechia	Czechia_IA_LaTene.AG	2305.0
I15955.AG	0.5646339654922485	Czechia	Czechia_LBA_Knoviz.AG	3059.0
I15956.AG	0.5134528279304504	Czechia	Czechia_LBA_Knoviz.AG	3050.0
I15957.AG	0.6024989485740662	Czechia	Czechia_LBA_Knoviz.AG	3050.0
I15958.AG	0.6114209890365601	Czechia	Czechia_LBA_Knoviz.AG	3050.0
I15959.AG	0.6275399923324585	Czechia	Czechia_LBA_Knoviz.AG	3022.0
I15960.AG	0.6229796409606934	Czechia	Czechia_LBA_Knoviz.AG	3050.0
I15961.AG	0.34122347831726074	Czechia	Czechia_LBA_Knoviz_o3.AG	3050.0
I16006.AG	0.6250396370887756	Austria	Austria_EN_LBK.AG	7019.0
I16007.AG	0.6541236639022827	Slovakia	Slovakia_N_LBK_sister.I14178.AG	7100.0
I16008.AG	0.6466598510742188	Slovakia	Slovakia_N_LBK.AG	7100.0
I16009.AG	0.6422470808029175	Slovakia	Slovakia_N_LBK_mother.or.daughter.I14599.AG	7100.0
I16010.AG	0.6497360467910767	Slovakia	Slovakia_N_LBK.AG	7100.0
I16011.AG	0.6269398331642151	Slovakia	Slovakia_N_LBK.AG	7100.0
I16012.AG	0.649976909160614	Slovakia	Slovakia_N_LBK.AG	7100.0
I16013.AG	0.6211710572242737	Slovakia	Slovakia_N_LBK.AG	7100.0
I16014.AG	0.26921531558036804	Slovakia	Slovakia_N_LBK.AG	7100.0
I16015.AG	0.6339357495307922	Slovakia	Slovakia_N_LBK.AG	7100.0
I16016.AG	0.654448926448822	Slovakia	Slovakia_N_LBK.AG	7100.0
I16088.AG	0.3441407382488251	Czechia	Czechia_IA_Hallstatt.AG	2593.0
I16089.AG	0.6776400804519653	Czechia	Czechia_LBA_Knoviz.AG	3000.0
I16090.AG	0.6739888191223145	Czechia	Czechia_IA_LaTene_Hallstatt.AG	2350.0
